,Price (USD),Price (USD),Price (USD),Market Cap (USD),Total Volume (USD)
,min,max,mean,mean,mean
Timestamp,,,,,
2026-06-14,61492.514389714524,64384.54610470523,63167.000211804654,1265622906770.2327,29292660461.72457
