Date,Price (USD),Market Cap (USD),Total Volume (USD)
2026-08-26,78511.2331116067,1576126744181.299,42844457202.96398
2026-08-27,79018.03405750773,1586333891398.6638,28508064828.85475
2026-08-28,80268.37474707834,1611476640675.1921,33271382525.81097
2026-08-29,77820.76428719184,1562365617022.764,36320805552.04175
2026-08-30,78225.13950818499,1570516817114.2285,15083877886.534477
2026-08-31,77658.23133225394,1559173121661.4866,18928816149.23794
2026-09-01,78552.77932895812,1577171863083.2737,29723745445.38036
2026-09-01,78287.73808351909,1571857525717.2063,29241629607.688885
