,Price (USD),Price (USD),Price (USD),Market Cap (USD),Total Volume (USD)
,min,max,mean,mean,mean
Timestamp,,,,,
2023-12-17,41200.96272610168,43009.5954563739,42138.703577471955,824562811624.6632,24098921313.890503
2023-12-24,41410.819634575855,41569.74656807896,41490.28310132741,813059693407.7955,17385307954.18306
