Date,Price (USD),Market Cap (USD),Total Volume (USD)
2023-12-12,41200.96272610168,806178244439.1412,39734542163.66172
2023-12-13,41450.819387377436,812055172695.532,24919333990.627098
2023-12-14,42931.76182603245,840112594142.6609,26301358636.124893
2023-12-15,43009.5954563739,841400560142.884,22978695605.48269
2023-12-16,41992.01418722399,821883086852.3783,17134765249.072596
2023-12-17,42247.06788172229,825747211475.3832,13524832238.374014
2023-12-18,41410.819634575855,810534011290.7083,16536428696.461372
2023-12-18,41569.74656807896,815585375524.8828,18234187211.904743
